idiom,definition,group num,count M,count F,total,total,min,max,avg,idiom,tokens
gatecrash,to attend a private social event without being invited,308,145,67,212,1.0,1.0,1.0,1.0,1
catnap,to have a short sleep during the day,169,52,96,148,1.0,1.0,1.0,1.0,1
pyrrhic victory,"a victory that is obtained at a tremendous cost, or causes such a great loss that it is not worth winning",659,431,79,510,0.5157492,0.5617286,0.5387389,0.562990128993988,2
landslide victory,the victory of a candidate or a political party by an overwhelming majority,487,157,48,205,0.48570696,0.6410421,0.5633745,0.6640262603759766,2
in the blues,low spirited and sad,432,73,24,97,0.38588566,0.38588566,0.38588566,0.38588571548461914,1
up to the neck,"when people are very involved in something, especially when it's something wrong",855,32,63,95,0.37354088,0.37354088,0.37354088,0.37354084849357605,1
called her bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156,45,54,99,-1,-1,-1,-1,0
call my bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156,46,47,93,-1,-1,-1,-1,0
calling your bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156,38,35,73,-1,-1,-1,-1,0
called my bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156,40,32,72,-1,-1,-1,-1,0
calling his bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156,35,35,70,-1,-1,-1,-1,0
calling their bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156,37,26,63,-1,-1,-1,-1,0
called your bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156,32,21,53,-1,-1,-1,-1,0
rant and rave,to protest noisily and forcefully,671,204,268,472,0.3099886,0.39379904,0.3518938,0.431328147649765,2
tickled pink,to be very pleased about something,822,84,240,324,0.2948426,0.33806723,0.31645492,0.40692102909088135,2
sees red,to become suddenly become very angry or annoyed,719,35,37,72,-1,-1,-1,-1,0
sleeping partner,"a person who invests in a business without taking an active part in its management, and whose association with the enterprise is not public knowledge",736,41,48,89,0.27190274,0.37667352,0.32428813,0.4245140254497528,2
regain my composure,to calm down and control your emotions again after a stressful or upsetting event,684,44,33,77,0.26376426,0.2676955,0.26572987,0.32247161865234375,2
thorny issue,to deal with a difficult or unpleasant problem,810,57,28,85,0.2635962,0.31908444,0.29134032,0.3670046329498291,2
dead duck,a project or scheme which has been abandoned or is certain to fail,219,41,30,71,0.26309854,0.41660494,0.33985174,0.4249388575553894,2
plays by the rules,follow what is generally held to be the correct line of behavior,639,64,26,90,-1,-1,-1,-1,0
jump on the bandwagon,when people get involved in something that has recently become very popular,459,360,337,697,0.25470757,0.28636023,0.27053392,0.33924582600593567,2
caught unaware,to be surprised and unprepared for what happens,173,73,41,114,0.24032244,0.2792189,0.2597707,0.3425494432449341,2
road rage,aggressive driving habits sometimes resulting in violence against other drivers,691,1496,1422,2918,0.23843263,0.34524396,0.2918383,0.40114331245422363,2
tight spot,to be in a very difficult situation,824,528,471,999,0.23693044,0.25054604,0.24373823,0.3194243609905243,2
jump ship,"to leave something, especially suddenly or rapidly",461,1889,1120,3009,0.23347986,0.3556406,0.29456022,0.3629145920276642,2
mother nature,"nature, especially when considered as a force that controls the weather and all living things",557,1271,1504,2775,0.22925813,0.30784112,0.26854962,0.34863749146461487,2
stars in my eyes,to looking extremely happy,755,14,41,55,-1,-1,-1,-1,0
sitting on the fence,to avoid taking sides in a discussion or argument,730,121,115,236,0.2235066,0.32842436,0.27596548,0.34141701459884644,2
sit on the fence,to avoid taking sides in a discussion or argument,730,107,57,164,0.2235066,0.32842436,0.27596548,0.34141701459884644,2
necessary evil,to not like something but you understand that it has to exist and be accepted,563,1730,1090,2820,0.22044022,0.31941056,0.2699254,0.36407309770584106,2
moment of truth,"a critical or decisive time when you face the reality of a situation, and find out if your efforts have succeeded",553,218,104,322,0.21811174,0.37329486,0.2957033,0.37737083435058594,2
zero tolerance,"refusal to accept antisocial behavior, typically by strict and uncompromising application of the law",946,2651,1830,4481,0.21644025,0.4124276,0.31443393,0.4173959791660309,2
back to the wall,to have very serious problems that limit the ways in which you can act,66,244,161,405,0.2156848,0.29702747,0.25635612,0.3293362855911255,2
happy camper,to be content or satisfied with what is happening in your lifes and have no complaints,376,337,513,850,0.21532339,0.39961082,0.3074671,0.43866631388664246,2
take a stab at,to attempt or try something,776,653,522,1175,0.21498673,0.21811894,0.21655282,0.2700277864933014,2
taking a stab at,to attempt or try something,776,89,64,153,0.21498673,0.21811894,0.21655282,0.2700277864933014,2
took a stab at,to attempt or try something,776,79,41,120,0.21498673,0.21811894,0.21655282,0.2700277864933014,2
change of heart,"to change your attitude or feelings, especially towards greater friendliness or cooperation",178,1224,1313,2537,0.2106592,0.23875533,0.22470728,0.3208869695663452,2
jump to a conclusion,when people evaluate or judge something without a sufficient examination of the facts,466,81,69,150,0.20990402,0.26488435,0.23739418,0.32417672872543335,2
with bells on,to be delighted and eager to go somewhere,893,52,96,148,0.20931548,0.20931548,0.20931548,0.2093154639005661,1
velvet glove,"a person who appears gentle, but is determined and inflexible underneath",859,56,34,90,0.2090678,0.269424,0.23924589,0.30296143889427185,2
fall from grace,"to have done something wrong, immoral or unacceptable, and as a result have lost their good reputation",268,441,221,662,0.20853445,0.2401905,0.22436248,0.299335241317749,2
blue blood,belonging to high social class,126,491,173,664,0.20679319,0.26405022,0.2354217,0.303730309009552,2
shouting match,an argument or debate where people shout loudly at each other,727,546,351,897,0.20249689,0.21404357,0.20827022,0.29764288663864136,2
caught in the crossfire,to suffer the effects of an argument or dispute between two people or groups,172,428,288,716,0.20039633,0.4318712,0.31613377,0.4554176926612854,2
test the water,judge people's feelings or opinions before taking further action,798,131,228,359,0.19936249,0.32142365,0.26039308,0.36525043845176697,2
throw money at,"to try to solve a problem by spending money on it, without using any other methods",820,1408,792,2200,0.19867176,0.24134332,0.22000754,0.30123522877693176,2
throwing money at,"to try to solve a problem by spending money on it, without using any other methods",820,1310,645,1955,0.19867176,0.24134332,0.22000754,0.30123522877693176,2
threw money at,"to try to solve a problem by spending money on it, without using any other methods",820,102,80,182,0.19867176,0.24134332,0.22000754,0.30123522877693176,2
throws money at,"to try to solve a problem by spending money on it, without using any other methods",820,80,56,136,0.19867176,0.24134332,0.22000754,0.30123522877693176,2
lo and behold,"to express surprise, especially at a sudden or unexpected appearance",515,2222,3061,5283,0.19668451,0.37693733,0.28681093,0.3725852370262146,2
get the jitters,to become very nervous or anxious and begin to shake,326,27,41,68,0.19659859,0.34458873,0.27059364,0.2857525646686554,2
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,524,158,320,478,0.19566545,0.3414902,0.2685778,0.35268619656562805,2
lump in your throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,524,16,39,55,0.19566545,0.3414902,0.2685778,0.35268619656562805,2
loaves and fishes,done for material benefits,516,39,34,73,0.19525853,0.29408553,0.24467203,0.3065204918384552,2
in the lurch,to be in a difficult or embarrassing situation,435,170,223,393,0.1941609,0.1941609,0.1941609,0.19416090846061707,1
fight fire with fire,to use the same methods as someone else in order to defeat them,279,565,271,836,0.19371518,0.22835419,0.20526151,0.24881809949874878,3
music to my ears,when the information that you receive makes you feel very happy,561,269,189,458,0.19370642,0.19679138,0.1952489,0.2547900378704071,2
go bananas,to become very emotional and starts behaving in a crazy way,341,167,215,382,0.19350839,0.24388093,0.21869466,0.2962995767593384,2
went bananas,to become very emotional and starts behaving in a crazy way,341,67,86,153,0.19350839,0.24388093,0.21869466,0.2962995767593384,2
goes bananas,to become very emotional and starts behaving in a crazy way,341,37,72,109,0.19350839,0.24388093,0.21869466,0.2962995767593384,2
going bananas,to become very emotional and starts behaving in a crazy way,341,74,75,149,0.19350839,0.24388093,0.21869466,0.2962995767593384,2
grasp at straws,"to try any method, even if it has little chance of success, in an attempt to find a solution",362,108,105,213,0.19018014,0.21088581,0.20053297,0.27669811248779297,2
been on the edge,to behave in a way that makes it seem as if you are going crazy,88,78,80,158,-1,-1,-1,-1,0
being on the edge,to behave in a way that makes it seem as if you are going crazy,88,77,64,141,-1,-1,-1,-1,0
was on the edge,to behave in a way that makes it seem as if you are going crazy,88,358,363,721,0.18715939,0.23833245,0.21274592,0.28941720724105835,2
is on the edge,to behave in a way that makes it seem as if you are going crazy,88,174,135,309,0.18715939,0.23833245,0.21274592,0.28941720724105835,2
be on the edge,to behave in a way that makes it seem as if you are going crazy,88,134,105,239,0.18715939,0.23833245,0.21274592,0.28941720724105835,2
am on the edge,to behave in a way that makes it seem as if you are going crazy,88,19,42,61,0.18715939,0.23833245,0.21274592,0.28941720724105835,2
unmitigated disaster,a complete failure or a total catastrophe,849,181,59,240,0.18368141,0.5669628,0.3753221,0.3735772967338562,2
mixed feelings,to react to something with conflicting emotions; you are happy and unhappy at the same time,552,2409,3248,5657,0.182813,0.2782245,0.23051876,0.34600839018821716,2
holding my breath,to wait anxiously or excitedly for something to happen or be announced,412,1740,1562,3302,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
hold my breath,to wait anxiously or excitedly for something to happen or be announced,412,1566,1465,3031,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
hold your breath,to wait anxiously or excitedly for something to happen or be announced,412,1758,1026,2784,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
holding your breath,to wait anxiously or excitedly for something to happen or be announced,412,381,322,703,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
hold their breath,to wait anxiously or excitedly for something to happen or be announced,412,215,176,391,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
held my breath,to wait anxiously or excitedly for something to happen or be announced,412,121,269,390,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
holding their breath,to wait anxiously or excitedly for something to happen or be announced,412,147,92,239,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
hold his breath,to wait anxiously or excitedly for something to happen or be announced,412,113,78,191,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
holding his breath,to wait anxiously or excitedly for something to happen or be announced,412,75,63,138,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
hold her breath,to wait anxiously or excitedly for something to happen or be announced,412,41,47,88,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
held his breath,to wait anxiously or excitedly for something to happen or be announced,412,44,31,75,0.18180937,0.28736633,0.23458785,0.32466578483581543,2
make the cut,to reach a required standard or succeed in passing from one round of a competition to another,541,1389,930,2319,0.17888398,0.2131144,0.19599919,0.2410522699356079,2
made the cut,to reach a required standard or succeed in passing from one round of a competition to another,541,357,282,639,0.17888398,0.2131144,0.19599919,0.2410522699356079,2
makes the cut,to reach a required standard or succeed in passing from one round of a competition to another,541,147,78,225,0.17888398,0.2131144,0.19599919,0.2410522699356079,2
