idiom,definition,
a big cheese,an important person in a company or an organization with a lot of influence,
a bird's eye view,"an elevated view of an object from above, with a perspective as though the observer were a bird, often used in the making of blueprints, floor plans, and maps.",
a bit under the weather,feeling sick or unhealthy,
a bone of contention,something that two or more people argue about strongly over a long period of time,
a boon in disguise,"something that seems bad or unlucky at first, but results in something good happening later",
a bull in a china shop,doing something with too much enthusiasm or too quickly and carelessly in a way that may damage things or upset someone,
a cock and a bull story,a story or an explanation which is obviously not true,
a cuckoo in the nest,an unwelcome intruder in a place or situation.,
a dead letter,something that has lost its force or authority without being formally abolished,
a dish fit for gods,something of very high quality,
a game of two equal halves,a situation could end very differently from the way it seems to be developing now,
a house of cards,a complicated organization or plan that is very weak and can easily be destroyed or easily go wrong,
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,
a moot point,"an issue that is subject to, or open for, discussion or debate, to which no satisfactory answer is found",
a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,
a queer fish,a strange person,
a red letter day,any day of special significance or opportunity,
a roof over your head,a place to live,
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,
a shoulder to cry on,"someone who is willing to listen to your problems and give you sympathy, emotional support, and encouragement",
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",
a wakeup call,something that makes you realize that you need to take action to change a situation,
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,
a worm's eye view,"a view of an object from below, as though the observer were a worm",
ace a test,to obtain a very high score or an excellent result,
achilles heel,"a vulnerable area or a weak spot, in an otherwise strong situation, that could cause one's downfall or failure",
across the board,"affecting everyone or everything within an organization, system, or society",
afraid of someone's own shadow,to be very nervous or easily frightened,
against the clock,to be in a hurry to do something before a particular time,
ahead of the pack,more successful than other people who are trying to achieve the same things,
air someone's dirty laundry,to make public something embarrassing that should be kept secret,
alarm bells ringing,"to make someone begin to worry, because it shows that there may be a problem",
all downhill,something that is very easy to achieve considering the difficulties encountered beforehand,
all hell broke loose,"a situation suddenly becomes violent and noisy, especially with people arguing or fighting",
all systems go,everything is ready for an event or an activity to begin,
an arm and a leg,a large amount of money,
an early bird,a person who gets up or arrives early,
an educated guess,a guess that is made using judgment and a particular level of knowledge and is therefore more likely to be correct,
ants in someone's pants,to not be able to keep still because you are very excited or worried about something,
appear out of nowhere,"appearing all of a sudden, without any prior warning or indication.",
apple of someone's eye,the person who someone loves most and is very proud of,
apples and oranges,two things that are fundamentally different and therefore not suited to comparison,
argue the toss,to dispute a decision or choice which has already been made,
as the crow flies,measuring distance between two places in a straight line,
ask for the moon,ask for something that is very difficult or impossible to get,
asking for trouble,behaving in a way that is likely to cause problems for you,
asleep at the switch,failing to attend to one's responsibilities or duties,
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",
at a low ebb,in a bad or weak state,
at an arm's length,as far away from your body as possible,
at loggerheads,to disagree very strongly with someone,
at odds,"in conflict or at variance, not agreeing with each other",
at sixes and sevens,"in a confused, badly organized, or difficult situation",
at someone's beck and call,ready to do something for someone any time you are asked,
at someone's wit's end,to be very worried about something and do not know what to do,
at stake,something in a situation where it might be lost,
at the bottom of the ladder,"occupying the lowest, most basic position in a given group",
at the crack of the dawn,"very early in the morning, especially at the time when the sun first appears",
at the drop of the hat,to do something easily and without any preparation,
at the eleventh hour,the last moment or almost too late,
at the heels of,close behind or soon after something,
away with the fairies,to be in a dreamy state so that you're not totally in touch with reality and give the impression of being slightly mad,
back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,
back to square one,to start working on a plan from the beginning because your previous attempt failed completely,
back to the salt mines,"resume work, usually with some reluctance",
back to the wall,to have very serious problems that limit the ways in which you can act,
bad blood,feelings of hate between people because of arguments in the past,
ball and chain,a burden or problem that ties you down and prevents you from doing what you want,
ball of fire,"a dynamic person capable of or displaying rapid and highly effective thought, action, etc.",
bandit territory,"a geographical area where law enforcement is practically impossible, because people ignore all rule",
bane of someone's life,"the source or cause of one's misfortune, unhappiness, frustration, or anxiety",
bare your soul to someone,to reveal your innermost thoughts and feelings to someone,
bare your heart to someone,to reveal your innermost thoughts and feelings to someone,
bark up the wrong tree,to be wrong about the reason for something or the way to achieve something,
basket case,a person whose agitated mental state leaves them helpless or unable to cope with things,
bated breath,to be anxious and excited about an imminent event,
bats in the belfry,to be silly and slightly crazy and behave in a confused way,
batten down the hatches,"to prepare yourself for danger or a forthcoming difficult period, like a ship preparing for a storm",
battle lines are drawn,"groups are ready to start fighting or arguing, and that it has become clear what the main points of conflict or disagreement will be",
battle of wills,a situation that involves people who try to defeat each other by refusing to change their own aims or demands and hoping that their opponents will weaken first,
be above board,to be honest and legal,
be as clear as mud,to be impossible to understand,
be at each other's throat,two persons arguing angrily,
be bouncing off the walls,excited and full of nervous energy,
be in seventh heaven,to be extremely happy,
be in the doldrums,unsuccessful or showing no activity or development,
be on cloud nine,to be extremely happy and excited,
be on the edge,to behave in a way that makes it seem as if you are going crazy,
be tailor made,specially made for a particular purpose,
mean the world to someone,to be extremely important to someone,
be the world to someone,to be extremely important to someone,
bear fruit,to produces positive or successful results,
bear the brunt,to suffer the most when something bad or unpleasant happens,
bear with sore head,to be in a bad mood that causes you to treat other people badly and complain a lot,
beat black and blue,hit someone so severely that they are covered in bruises,
beat someone's brain out,to put forth one's maximum effort,
beat someone's head against the wall,to attempt continuously and fruitlessly to accomplish some task or achieve some goal that is or seems ultimately hopeless,
beat the drum,to speak eagerly about something you support,
beat the living daylights,"to physically attack one, as with punches and other blows, such that they suffer significant injury",
begin to see the light,to suddenly begin to understand,
behind closed doors,hidden or kept secret from public view,
bells and whistles,special features that are added to a product or system to attract more buyers,
bend your ears,to talk to someone for a very long time about something boring,
bent on doing,to be determined to do something,
bent out of shape,to become annoyed or upset about something that is usually not that important or cannot be avoided,
bet on the wrong horse,support a person or thing that ultimately fails,
between the devil and deep blue sea,a type of situation where one must choose between two equally unpleasant situations,
bite head off,to speak to someone angrily when there is no reason to,
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",
bite the bullet,"to force yourself to do something unpleasant or difficult, or to be brave in a difficult situation",
bite your tongue,to stop yourself from saying something because it would be better not to,
bitter pill to swallow,an unpleasant fact that must be accepted,
black and blue,with dark marks on your skin caused by being hit or having an accident,
black mood,"to be irritable, angry or even depressed",
black sheep of the family,a person who has done something bad that brings embarrassment or shame to his or her family,
blamestorming,"a discussion among a group of people who try to determine who or what is to blame for a particular mistake, failure or wrongdoing",
blessing in disguise,something that turns out to be good which earlier appeared to be wrong,
blind leading the blind,someone who does not understand something but tries to explain it to others,
blow a fuse,to suddenly lose your temper and become very angry,
blow a gasket,to explode with anger,
blow away the cobwebs,"to get rid of feelings of tiredness, usually with fresh air or exercise",
