idiom,definition,1
a big cheese,an important person in a company or an organization with a lot of influence,2
a bird's eye view,"an elevated view of an object from above, with a perspective as though the observer were a bird, often used in the making of blueprints, floor plans, and maps.",3
a bit under the weather,feeling sick or unhealthy,4
a bone of contention,something that two or more people argue about strongly over a long period of time,5
a boon in disguise,"something that seems bad or unlucky at first, but results in something good happening later",6
a bull in a china shop,doing something with too much enthusiasm or too quickly and carelessly in a way that may damage things or upset someone,7
a cock and a bull story,a story or an explanation which is obviously not true,8
a cuckoo in the nest,an unwelcome intruder in a place or situation.,9
a dead letter,something that has lost its force or authority without being formally abolished,10
a dish fitting for gods,something of very high quality,11
a dish fit for gods,something of very high quality,11
a dish fitted for gods,something of very high quality,11
a dish fits for gods,something of very high quality,11
a game of two equal halves,a situation could end very differently from the way it seems to be developing now,12
a house of cards,a complicated organization or plan that is very weak and can easily be destroyed or easily go wrong,13
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,14
a moot point,"an issue that is subject to, or open for, discussion or debate, to which no satisfactory answer is found",15
a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,16
a queer fish,a strange person,17
a red letter day,any day of special significance or opportunity,18
a roof over your head,a place to live,19
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,20
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",21
a wakeup called,something that makes you realize that you need to take action to change a situation,22
a wakeup calling,something that makes you realize that you need to take action to change a situation,22
a wakeup calls,something that makes you realize that you need to take action to change a situation,22
a wakeup call,something that makes you realize that you need to take action to change a situation,22
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,23
a worm's eye view,"a view of an object from below, as though the observer were a worm",24
ace a test,to obtain a very high score or an excellent result,25
achilles heel,"a vulnerable area or a weak spot, in an otherwise strong situation, that could cause one's downfall or failure",26
across the board,"affecting everyone or everything within an organization, system, or society",27
afraid of my own shadow,to be very nervous or easily frightened,28
afraid of your own shadow,to be very nervous or easily frightened,28
afraid of their own shadow,to be very nervous or easily frightened,28
afraid of her own shadow,to be very nervous or easily frightened,28
afraid of his own shadow,to be very nervous or easily frightened,28
against the clock,to be in a hurry to do something before a particular time,29
ahead of the pack,more successful than other people who are trying to achieve the same things,30
air their dirty laundry,to make public something embarrassing that should be kept secret,31
air your dirty laundry,to make public something embarrassing that should be kept secret,31
air my dirty laundry,to make public something embarrassing that should be kept secret,31
air his dirty laundry,to make public something embarrassing that should be kept secret,31
air her dirty laundry,to make public something embarrassing that should be kept secret,31
alarm bells ringing,"to make someone begin to worry, because it shows that there may be a problem",32
all downhill,something that is very easy to achieve considering the difficulties encountered beforehand,33
all hell broke loose,"a situation suddenly becomes violent and noisy, especially with people arguing or fighting",34
all systems goes,everything is ready for an event or an activity to begin,35
all systems gone,everything is ready for an event or an activity to begin,35
all systems going,everything is ready for an event or an activity to begin,35
all systems go,everything is ready for an event or an activity to begin,35
all systems went,everything is ready for an event or an activity to begin,35
an arm and a leg,a large amount of money,36
an early bird,a person who gets up or arrives early,37
